date,pc1_score
2023-12-31,-1.905823232601674
2024-01-07,-1.8383984432422664
2024-01-14,-1.8861136664412697
2024-01-21,-1.7906832200432632
2024-01-28,-1.8383984432422664
2024-02-04,-1.8383984432422664
2024-02-11,-1.8383984432422664
2024-02-18,-1.8383984432422664
2024-02-25,-1.695252773645257
2024-03-03,-1.7906832200432632
2024-03-10,-1.7906832200432632
2024-03-17,-1.74296799684426
2024-03-24,-1.7906832200432632
2024-03-31,-1.8383984432422664
2024-04-07,-1.8383984432422664
2024-04-14,-1.7906832200432632
2024-04-21,-1.316557477298801
2024-04-28,-1.858108009402671
2024-05-05,-1.858108009402671
2024-05-12,-1.7232584306838554
2024-05-19,-1.6755432074848522
2024-05-26,-1.7906832200432632
2024-06-02,-1.7232584306838554
2024-06-09,-1.8383984432422664
2024-06-16,-1.8383984432422664
2024-06-23,-1.8383984432422664
2024-06-30,-1.8383984432422664
2024-07-07,-1.8383984432422664
2024-07-14,-1.7906832200432632
2024-07-21,-1.8383984432422664
2024-07-28,-1.905823232601674
2024-08-04,-1.905823232601674
2024-08-11,-1.905823232601674
2024-08-18,-1.858108009402671
2024-08-25,-1.905823232601674
2024-09-01,-1.74296799684426
2024-09-08,-1.504391880849244
2024-09-15,-1.3135309880532313
2024-09-22,-1.456676657650241
2024-09-29,-1.5521071040482473
2024-10-06,-1.456676657650241
2024-10-13,-1.504391880849244
2024-10-20,-1.504391880849244
2024-10-27,-1.6475375504462537
2024-11-03,-1.5521071040482473
2024-11-10,-1.1059870183423834
2024-11-17,-1.2211270309007944
2024-11-24,-1.6475375504462537
2024-12-01,-1.1734118077017912
2024-12-08,-1.1059870183423834
2024-12-15,-1.1734118077017912
2024-12-22,-1.160289609718032
2024-12-29,-1.7841483902361492
2025-01-05,-0.817292679937428
2025-01-12,-0.7695774567384248
2025-01-19,-0.6496638754439799
2025-01-26,1.858776088375399
2025-02-02,0.49353939095964705
2025-02-09,0.386319364153447
2025-02-16,-0.2281468524051619
2025-02-23,-0.3836448552571027
2025-03-02,-0.3414730655229615
2025-03-09,-0.4023104867057241
2025-03-16,-0.4098892512246213
2025-03-23,-0.44448227643986526
2025-03-30,-0.436903511920968
2025-04-06,-0.4576044744236245
2025-04-13,-0.5530349208216309
2025-04-20,-0.5530349208216309
2025-04-27,-0.5585783542864929
2025-05-04,-0.5858666849657947
2025-05-11,-0.48384887039114316
2025-05-18,-0.5454561563027337
2025-05-25,-0.5108631310874897
2025-06-01,-0.5032843665685927
2025-06-08,0.027655304132097165
2025-06-15,-0.13443006689648873
2025-06-22,-0.14755226488024803
2025-06-29,-0.16067446286400733
2025-07-06,-0.19449762335042314
2025-07-13,-0.038947082128951205
2025-07-20,-0.017254723284042837
2025-07-27,0.6734191068392525
2025-08-03,5.5850771995290485
2025-08-10,9.69523014155576
2025-08-17,6.421888182339034
2025-08-24,4.491798682845906
2025-08-31,4.405599686517516
2025-09-07,3.815678204643666
2025-09-14,3.0420865795013885
2025-09-21,3.824394695197787
2025-09-28,3.228320040104845
2025-10-05,3.1099317685367236
2025-10-12,3.6110717719775325
2025-10-19,2.8060799010939736
2025-10-26,2.220322679502139
2025-11-02,2.234710343811105
2025-11-09,2.6753945826571743
2025-11-16,2.6493717183030796
2025-11-23,3.0090330905943063
2025-11-30,3.501323300553521
2025-12-07,2.4356807406269345
2025-12-14,4.09809261845484
2025-12-21,2.4778333655914526
2025-12-28,1.9339930285204276
2026-01-04,2.821821691714309
2026-01-11,3.6090313095862188
2026-01-18,3.964508506061231
2026-01-25,4.1273637418186455
